230 13000,Retribuciones básicas,796146.9,0,796146.9,778144.12
230 13100,Retribuciones básicas personal laboral temporal,487410.37,40739,528149.37,617984.03
230 13102,Otras Retribuciones,0,0,0,14311.5
230 15100,Gratificaciones,3500,-3500,0,0
230 16000,Seguridad Social,410494.93,0,410494.93,447968.58
230 16006,Asistencia Farma-Protésica según Convenio,10000,0,10000,12692.4
230 16008,Asistencia médica farmacéutica,2850,0,2850,3150
230 16104,Indemnizaciónes al personal laboral por jubilación,6,0,6,0
230 16200,Formación y perfeccionamiento del personal,3516.95,0,3516.95,10058
230 16204,Acción Social ,22000,0,22000,19609.21
230 16205,Seguros,0,0,0,4098.38
230 16206,Bolsa Convenio,18900,0,18900,19206
230 16209,Otros gastos Sociales,6,0,6,0
230 20500,Arrendamiento de mobiliario y enseres,900,0,900,0
230 22000,Ordinario no inventariable,2000,15000,17000,20356.22
230 22001,"Prensa, revistas, libros y otras publicaciones",2000,0,2000,776
230 22002,Material informático no inventarible,2700,0,2700,1368.06
230 22103,Combustibles y carburantes,10000,0,10000,10006.12
230 22200,Servicios de telecomunicaciones,5000,0,5000,3743.79
230 22500,Tributos Estatales,600,0,600,0
230 22601,Atenciones protocolarias y representativas,2000,0,2000,493.51
230 22603,Publicación en Diarios Oficiales,800,0,800,6709.86
230 22604,"Jurídicos, contenciosos",1500,0,1500,17395.48
230 22606,"Reuniones, conferencias y cursos",100,0,100,0
230 22607,Oposiciónes y pruebas selectivas,200,0,200,0
230 23000,De los miembros de los órganos de gobierno,3000,0,3000,480.8
230 23020,Del personal no directivo,1500,-1000,500,2212.56
230 23100,Locomoción de los Organos de Gobierno,6,0,6,0
230 23120,Locomoción del Personal no Directivo,3000,0,3000,1700.25
230 23300,Otras indemnizaciónes,0,0,0,721.2
230 27000,Gastos imprevistos y funciones no clasificadas,0,0,0,8.4
231 14300,Otro personal por tiempo definido,151011.35,0,151011.35,65718.38
231 14301,Otro Personal Temporal,18062.78,0,18062.78,0
231 16000,Seguridad Social,54103.72,0,54103.72,24980.59
231 16206,Bolsa Convenio,4200,0,4200,0
231 20200,Arrendamiento de edificios y otras construcciones,120450,-5000,115450,98533.01
231 21200,Reparación edificios y otras construcciones,6000,5500,11500,9221.57
231 21300,"Reparación maquinaria, instalaciones y utillaje",4000,-3000,1000,1463.24
231 21400,Reparación material de transporte,1000,5000,6000,5858.73
231 22104,Vestuario,3500,0,3500,2838.15
231 22400,Primas de Seguros,5500,0,5500,7049.19
231 48010,Convenio-IASS Hogar de Menores-ADESA,0,135780,135780,135780
232 22105,Productos alimenticios,1000,5899,6899,4252.99
232 22106,Productos farmacéuticos y material sanitario,7000,-7000,0,0
232 22199,Otros Suministros,6,0,6,11833.76
232 22300,Transportes,90000,-6000,84000,32896.6
232 22602,Publicidad y propaganda,1000,0,1000,10935.2
232 22606,"Reuniones, Conferencias y Cursos",600,0,600,0
232 22608,Actos de Servicios Sociales,27500,30000,57500,52673.82
232 22610,Actos de Fomento 3ª Edad,70000,0,70000,58640.83
232 22624,Convenio IASS Homologación Discapacidad ,0,3000,3000,3241.38
232 22699,Otros gastos diversos,6,0,6,12054.96
232 22706,Estudios y trabajos técnicos,2000,-1000,1000,0
232 22709,Plan Drogodependencia,64406,25000,89406,80745.38
232 22710,Plan de Igualdad,20000,0,20000,22365.21
232 22711,Proyecto Campamento de Verano,3000,0,3000,0
232 22799,Otros trabajos realizados por otras empresas y pro,6,0,6,612.32
232 27000,Gastos Imprevistos y Funciones No Clasificadas,1000,0,1000,0
232 48000,Subvenciones a Familias e Inst. sin fines de lucro,1000,0,1000,947.6
232 48001,Subvenciones Ayudas de Emergencia Social,792510,251542.12,1044052.12,1006295.83
232 48002,Subvenciones Libros Escolares,50000,-18000,32000,31620
232 48003,Convenio Cruz Roja Transportes,88000,6000,94000,77335.84
232 48004,Convenio Cruz Roja Teleasistencia,13000,0,13000,11162.04
232 48005,Subvención Santa Rita,6000,0,6000,6000
232 48006,Subvenciones Ayudas Individuales y Tercera Edad,70000,-15000,55000,40514.92
232 48008,Subvencion Fundacion Santa Rita,0,0,0,0
232 48009,Subv. Asociación Española contra el cáncer,3000,0,3000,3000
232 48010,Subvención Orobal,36000,0,36000,36000
232 48011,Subvención Caritas,12000,0,12000,12029.99
232 48012,Convenio IASS Hogar de Acogida (ADESA) PLAZA DIA,0,39420,39420,59292
232 48013,Subvención Convenio Gestión Casa Nira,0,284144,284144,264144
232 48014,Convenio Residencia de Mayores de Los Cristianos,0,227766.09,227766.09,227766.09
232 62300,"Maquinaria, instalaciones y utillaje",2000,0,2000,0
232 62500,Mobiliario,6000,0,6000,723.36
232 62600,Eq. para proceso de información,6000,0,6000,22830.59
232 62601,Otros Suministros,5000,0,5000,0
232 62602,Otros suministros informáticos,13001,4878,17879,7143.18
931 83001,Anticipos al personal,0,10800,10800,10800
,,3549000,1030968.21,4579968.21,4452495.22
