340 11000,Retribuciones básicas,0,0,0,0,
340 13000,Retribuciones básicas,58419.49,26800,85219.49,67762.68,
340 15100,Gratificaciones,0,2900,2900,11455.63,
340 16000,Seguridad Social,28258.87,0,28258.87,92991.56,
340 16006,Asistencia Farma-Protésica Según Convenio,13000,0,13000,18359.1,
340 16008,Asistencia médico-farmaceútica,5000,0,5000,3042.35,
340 16104,Indemnizaciones al personal laboral por jubilación,6,0,6,4500,
340 16200,Formación y perfeccionamiento del personal,1000,5600,6600,29039.84,
340 16204,Acción social,18000,0,18000,12338.27,
340 16205,Seguros,7500,0,7500,2654.18,
340 16206,Bolsa Convenio,17846.7,0,17846.7,15463.29,
340 20500,Arrendamiento de mobiliario y enseres,1000,0,1000,0,
340 20600,Arrendamiento de Eq. para procesos de información,5,0,5,0,
340 20800,Arrendamiento de otros inmovilizado material,5,0,5,0,
340 22002,Material Informático No inventariable,600,0,600,5202.34,
340 22200,Servicios de Telecomunicaciones,10000,0,10000,6472.91,
340 22601,Atenciones protocolarias y representativas,3000,0,3000,10196.18,
340 22603,Publicación en Diarios Oficiales,1000,0,1000,980.44,
340 22604,"Jurídicos, Contenciosos",1900,0,1900,400,
340 22606,"Reuniones, Conferencias y Cursos",500,0,500,0,
340 22607,Oposiciónes y Pruebas Selectivas,5,0,5,0,
340 22799,Otros trabajos realizados por otras empresas,5,0,5,5179.97,
340 23000,Dietas de los miembros de órganos de gobierno,1800,0,1800,958.78,
340 23020,Dietas del personal no directivo,900,0,900,674.48,
340 23100,Locomoción de los órgannos de Gobierno,500,0,500,560.81,
340 23120,Locomoción del Personal no Directivo,1500,0,1500,576.79,
340 23300,Otras Indemnizaciones,2000,0,2000,3485.8,
340 62400,Vehículo,0,30000,30000,15936.6,
340 62500,Mobiliario,3000,16005,19005,26888.19,
340 62600,Equipos para Procesos de Información,8000,0,8000,17270.46,
341 13000,Retribuciones básicas,1143687,-87900,1055787,867476.58,
341 13100,Retribuciones Basicas Personal Temporal,15170.97,0,15170.97,243700.53,
341 15100,Gratificaciones,10000,0,10000,1441.11,
341 16000,Seguridad Social,378596.62,0,378596.62,271043.61,
341 22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,0,
341 22103,Combustibles y Carburantes,2000,0,2000,1002.04,
341 22104,Vestuario,6000,0,6000,6559.5,
341 22300,Transportes,5,0,5,0,
341 22400,Primas de Seguros,10000,0,10000,7641.43,
341 22609,Actividades culturales y deportivas,5,29000,29005,17282.71,
341 22610,Actos de fomento Deportivo,26000,45000,71000,34909.63,
341 22612,Gala del Deporte,11000,0,11000,9890.17,
341 22614,Arona Deporte Natural Verano,10000,0,10000,8000,
341 22615,Medio Maratón de Las Galletas,42000,0,42000,37945.73,
341 22616,Meeting Internacional Pruebas Combinadas,25000,0,25000,19204.66,
341 22620,Actividades Deportivas Playa (Deporplaya),4000,0,4000,4000,
341 22621,Actividad Deportiva San Silvestre,0,5000,5000,0,
341 22622,Actividad Deportiva Promoción Baloncesto ,0,3000,3000,0,
341 22644,Actividades Deportivas Promocionales Golf,10000,0,10000,10000,
341 22645,Actividades Deportivas Promocionales,9000,0,9000,0,
341 22646,Carrera Nocturna Arona K7,5000,0,5000,6183.34,
341 22653,Acividades Deportivas Promo.Baloncesto,0,0,0,12000,
341 22699,Otros gastos diversos,67.63,0,67.63,3441.38,
