,,,,,
#EJECUCIÓN GASTOS CORRIENTES EJERCICIO 2013,,,,,
,,,,,
,,,,,
,,,,,
#Aplicación Presupuestaria,Denominación,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,,,,,
     231  62213,Adecuación N.V. Instalaciones Residencia Mayores C,0,218394.02,218394.02,0
,,,,,
     231  63211,Ampliación Residencia de Mayores Los Cristianos,0,60000,60000,32000
,,,,,
     231  62600,Equipos para proceso de información ,0,0,0,0
,,,,,
     231  62300,"Maquinaria, instalaciones y utillaje",0,6543.22,6543.22,0
,,,,,
     231  62400,Material de Transporte,0,10181.27,10181.27,0
,,,,,
     231  62500,Mobiliario,0,31374.02,31374.02,0
,,,,,
     313  48304,Convenio Acogida Animales Abandonados,0,7530,7530,7529.41
,,,,,
     313  22704,Recogida y acogida de animales.,58000,0,58000,95420.72
,,,,,
     313  23020,Dietas del personal no directivo,600,0,600,0
,,,,,
     313  23120,Locomoción del personal no directivo,600,0,600,0
,,,,,
     313  22115,"Desinfectantes, raticidas",60000,0,60000,60959.29
,,,,,
     313  16200,Formación y Perfeccionamiento del Personal,600,0,600,0
,,,,,
     313  22000,Ordinario No Inventariable,1000,0,1000,411.95
,,,,,
     313  22617,Promoción Sanidad y Consumo,10000,0,10000,3225.44
,,,,,
     313  22722,Recogida Animales Exóticos,3000,0,3000,0
,,,,,
     313  13000,Retribuciones personal laboral fijo,36000,0,36000,35419.17
,,,,,
     313  16000,Seguridad Social,9000,0,9000,11709.62
,,,,,
     173  65913,Aseos y Duchas en Playas,0,50000,50000,0
,,,,,
     173  65914,Balizamiento Playas,0,200000,200000,0
,,,,,
     173  20900,Cánones,215000,0,215000,174531.76
,,,,,
     173  22730,Mantenimiento Integral del Litoral,353000,0,353000,355210.77
,,,,,
     173  21000,"Reparaciones, man. y conserv. infraestructuras y b",1000,0,1000,0
,,,,,
     173  22736,Servicio de Vigilancia y Socorrismo en Playas,390000,0,390000,112817.23
,,,,,
     920  20800,Arrendamientos de Otro Inmovilizado Material,218000,108855,326855,326854.92
,,,,,
     920  20200,Arrendamientos de Edificios y otras Construcciones,16000,0,16000,12532.13
,,,,,
     920  23300,Otras indemnizaciones ,5000,0,5000,900
,,,,,
     920  22103,Combustibles y carburantes,8000,0,8000,10913.86
,,,,,
     920  12100,Complemento de destino,195000,-4200,190800,151768.78
,,,,,
     920  12101,Complemento especifico,380000,0,380000,294689.78
,,,,,
     920  12102,Complemento de Residencia,40000,0,40000,36544.92
,,,,,
     920  23020,Dietas del personal no directivo,3000,0,3000,888.68
,,,,,
     920  23120,Locomoción del personal no directivo,8000,0,8000,2346.39
,,,,,
     920  21200,"Reparaciones, man. y conserv. Edificios y otras co",35000,0,35000,8323.24
,,,,,
     920  21400,Repar. mant. y conserv. elementos de transporte,10000,0,10000,2681.13
,,,,,
     920  22100,Energía eléctrica,1100000,0,1100000,917452.24
,,,,,
     920  62600,Equipos para Proceso de Información,1000,129262.71,130262.71,58880.05
,,,,,
     920  22706,Estudios y Trabajos Técnicos,200000,0,200000,85228.37
,,,,,
     920  16200,Formación y perfeccionamiento del Personal,5000,0,5000,8050.44
,,,,,
     920  15100,Gratificaciones,10000,0,10000,431.37
,,,,,
     920  22203,Informáticas,61000,0,61000,44277.33
,,,,,
     920  22604,"Jurídicos, Contenciosos",100000,0,100000,263055.07
,,,,,
     920  22700,Limpieza y Aseo,1650000,0,1650000,1624149.26
,,,,,
     920  21304,Mantenimiento Aire Acondicionado,18000,0,18000,19825.49
,,,,,
     920  62300,"Maquinaria, Instalaciones y Utillaje",5000,0,5000,4108.16
,,,,,
     920  22002,Material informático no inventariable,275000,0,275000,284125.39
,,,,,
     920  22607,Oposiciones y pruebas selectivas,5000,0,5000,1921.12
,,,,,
     920  22000,Ordinario no inventariable,40000,0,40000,31086.4
,,,,,
     920  62601,Otro material informático,0,5709.52,5709.52,5709.52
,,,,,
     920  13100,Retribuciones personal temporal,335000,0,335000,271378.36
,,,,,
     920  22616,Plan de Formación Interno Empleados Públicos,10000,0,10000,10666.8
,,,,,
     920  22201,Postales,400000,0,400000,293266.4
,,,,,
     920  22001,"Prensa, revistas, libros y otras publicaciones",10000,0,10000,3795.69
,,,,,
     920  22401,Primas de seguros vehículos municipales.,3000,0,3000,2962.79
,,,,,
     920  15000,Productividad,13120,0,13120,1865.06
,,,,,
     920  22105,Productos alimenticios,18000,0,18000,18299.81
,,,,,
     920  22110,Productos de limpieza y aseo,1000,0,1000,521.69
,,,,,
     920  22603,Publicación en Diarios Oficiales,5000,0,5000,8503.35
,,,,,
     920  22602,Publicidad y Propaganda,50000,0,50000,65146.41
,,,,,
     920  21600,Repar. mant. y cons. Equipos para procesos informa,45000,0,45000,8690.23
,,,,,
     920  21500,Repar. mant. y cons. Mobiliario,10000,0,10000,1852.96
,,,,,
     920  21000,"Reparaciones, man. y conserv. infraestructuras y b",1000,0,1000,0
,,,,,
     920  13000,Retribuciones personal laboral fijo,282000,0,282000,267435.97
,,,,,
     920  14301,Retribuciones personal afecto a programas,131000,0,131000,131921.15
,,,,,
     920  16000,Seguridad Social,500000,0,500000,479921.84
,,,,,
     920  22701,Seguridad,18000,0,18000,19559.78
,,,,,
     920  22713,Servicio de mantenimiento de vías y edificios,369050,0,369050,310083.22
,,,,,
     920  22716,Servicio de Mantenimiento Eléctrico de Edificios,61000,0,61000,62339.63
,,,,,
     920  12000,Sueldos del Grupo A1,164000,0,164000,172621.59
,,,,,
     920  12001,Sueldos del Grupo A2,16000,0,16000,18033.06
,,,,,
     920  12003,Sueldos del Grupo C1,43000,0,43000,31847.1
,,,,,
     920  12004,Sueldos del Grupo C2,59000,0,59000,80111.56
,,,,,
     920  12005,Sueldos del Grupo E,23100,0,23100,39387.72
,,,,,
     920  22112,"Suministros de material electrónico, eléctrico y t",2000,0,2000,1388.81
,,,,,
     920  22204,Telefónicas,85000,0,85000,51848.37
,,,,,
     920  12006,Trienios,45500,0,45500,45232.74
,,,,,
     920  22104,Vestuario,12000,0,12000,2275.08
,,,,,
     430  41002,Al Patronato Municipal de Turismo,855645,168670.64,1024315.64,1024315.64
,,,,,
     430  46900,Convenio Mejora Espacio Turístico de Tenerife,93718,0,93718,46859
,,,,,
     430  46902,Convenio Regeneración espacio turístico,0,0,0,46859
,,,,,
     330  41000,Al Patronato Municipal de Cultura,2387818,0,2387818,2387818
,,,,,
     330  22100,Energía eléctrica,20000,0,20000,19061.02
,,,,,
     330  63205,Adecuación Sótano Centro Cultural Los Cristianos.,0,0,0,0
,,,,,
     330  22713,Servicio de mantenimiento de vías y edificios,219900,0,219900,168095.29
,,,,,
     330  22204,Teléfonos,15000,0,15000,4977.12
,,,,,
     340  41001,Al Patronato Municipal de Deportes,2361000,0,2361000,2361000
,,,,,
     340  22100,Energía eléctrica,212000,0,212000,205306.81
,,,,,
     320  12100,Complemento de destino,7200,0,7200,4316.64
,,,,,
     320  12101,Complemento especifico,12000,0,12000,7160.78
,,,,,
     320  12102,Complemento de Residencia,1800,0,1800,1187.04
,,,,,
     320  23020,Dietas del personal no directivo,600,0,600,0
,,,,,
     320  23120,Locomoción del personal no directivo,600,0,600,0
,,,,,
     320  22100,Energía eléctrica,103000,0,103000,87332.72
,,,,,
     320  16200,Formación y Perfeccionamiento del Personal,600,0,600,0
,,,,,
     320  15100,Gratificaciones,1000,0,1000,0
,,,,,
     320  13100,Retribuciones personal temporal,77000,0,77000,47116.78
,,,,,
     320  22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,0
,,,,,
     320  15000,Productividad,1000,0,1000,0
,,,,,
     320  13000,Retribuciones personal laboral fijo,222000,-9030,212970,151266.21
,,,,,
     320  14301,Retribuciones personal afecto a programas,16500,0,16500,11534.41
,,,,,
     320  16000,Seguridad Social,91620,0,91620,118973.4
,,,,,
     320  22713,Servicio de mantenimiento de vías y edificios,400390,0,400390,282705.5
,,,,,
     320  22716,Servicio de Mantenimiento Eléctrico de Edificios,190130,0,190130,193903.32
,,,,,
     320  12001,Sueldos del Grupo A2,13500,0,13500,12685.62
,,,,,
     320  12006,Trienios,0,0,0,2503.43
,,,,,
     450  62297,Proyecto Fibra Óptica Troncal Núcleos de Medianías,0,351743.08,351743.08,0
,,,,,
     450  62299,Proyecto Fibra óptica Troncal núcleos zona Este.,0,92300,92300,0
,,,,,
     130  22103,Combustibles y carburantes.,54000,0,54000,65598.12
,,,,,
     130  21305,Mantenimiento Cámaras de Seguridad,18000,0,18000,13431.03
,,,,,
     130  21303,Mantenimiento de Extintores,18000,0,18000,17637.14
,,,,,
     130  22002,Material informático no inventariable,1000,0,1000,614.39
,,,,,
     130  22000,Ordinario no inventariable,10000,0,10000,4419.38
,,,,,
     130  22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,0
,,,,,
     130  22401,Primas de seguros vehiculos mples.,18000,0,18000,16169.03
,,,,,
     130  21500,Repar. mant. y cons. Mobiliario,3000,0,3000,4278.15
,,,,,
     130  22111,"Suministros de repuestos de maquinaria, utillaje",20000,0,20000,21363.68
,,,,,
     130  22204,Teléfonos,15000,0,15000,14241.51
,,,,,
     130  22104,Vestuario,18000,0,18000,27307.71
,,,,,
     230  41003,Al Patronato Municipal de Servicios Sociales,3549000,31716.16,3580716.16,3580716.16
,,,,,
     230  23020,Dietas del personal no directivo,1000,0,1000,18.7
,,,,,
     230  23120,Locomoción del personal no directivo,2000,0,2000,821.15
,,,,,
     230  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
,,,,,
     230  13000,Retribuciones personal laboral fijo,166500,0,166500,166156.38
,,,,,
     230  16000,Seguridad Social,51000,0,51000,51217.45
,,,,,
     230  44221,Subvención a la Empresa Municipal ADESA,979180,0,979180,979180
,,,,,
     150  20200,Arrendamientos de Edificios y otras construcciones,13000,0,13000,12846.59
,,,,,
     150  22103,Combustibles y carburantes,15000,0,15000,17534.35
,,,,,
     150  12100,Complemento de destino,242000,0,242000,154667.84
,,,,,
     150  12101,Complemento especifico,455000,0,455000,292407.8
,,,,,
     150  12102,Complemento de Residencia,50000,0,50000,35668.35
,,,,,
     150  23020,Dietas del personal no directivo,1000,0,1000,676.36
,,,,,
     150  23120,Locomoción del personal no directivo,2000,0,2000,537.17
,,,,,
     150  21400,"Reparación, man. y conserv. elementos de transport",2000,0,2000,5447.23
,,,,,
     150  22100,Energía eléctrica,200000,0,200000,209426
,,,,,
     150  22706,Estudios y trabajos técnicos,100000,0,100000,12075
,,,,,
     150  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,6309.34
,,,,,
     150  15100,Gratificaciones,1000,0,1000,1132.04
,,,,,
     150  62300,"Maquinaria, Instalaciones y Utillaje",1000,0,1000,0
,,,,,
     150  22000,Ordinario no inventariable,6000,0,6000,362.51
,,,,,
     150  60101,Parque Urbano Cho-Parque La Reina ,44095,58000,102095,6678.62
,,,,,
     150  13100,Retribuciones personal temporal,267000,0,267000,287851.92
,,,,,
     150  22001,"Prensa, revistas, libros y otros",1000,0,1000,318.29
,,,,,
     150  22401,Primas de seguros,8500,0,8500,9295.22
,,,,,
     150  15000,Productividad,5000,0,5000,0
,,,,,
     150  21500,Repar. mant. y cons. Mobiliario,1000,0,1000,641.75
,,,,,
     150  11000,Retribuciones Básicas ,39900,0,39900,12127.47
,,,,,
     150  13000,Retribuciones personal laboral fijo,410000,0,410000,303098.17
,,,,,
     150  14301,Retribuciones personal afecto a programas,107000,0,107000,106623.46
,,,,,
     150  16000,Seguridad Social,550200,0,550200,617652.43
,,,,,
     150  12000,Sueldos del Grupo A1,145000,0,145000,141191.81
,,,,,
     150  12001,Sueldos del Grupo A2,72000,0,72000,56750.9
,,,,,
     150  12003,Sueldos del Grupo C1,86200,0,86200,37875.93
,,,,,
     150  12004,Sueldos del Grupo C2,56700,0,56700,87946.47
,,,,,
     150  12005,Sueldos del Grupo E,23100,0,23100,26789.69
,,,,,
     150  22111,"Suministros de repuestos de maquinaria, utillaje y",0,0,0,55.64
,,,,,
     150  12006,Trienios,67800,0,67800,51638.56
,,,,,
     170  12100,Complemento de destino,27200,0,27200,12792.18
,,,,,
     170  12101,Complemento especifico,59000,0,59000,26871.02
,,,,,
     170  12102,Complemento de Residencia,6200,0,6200,3453.67
,,,,,
     170  23020,Dietas del personal no directivo,1000,0,1000,187.22
,,,,,
     170  23120,Locomoción del personal no directivo,2000,0,2000,259.99
,,,,,
     170  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,451.9
,,,,,
     170  15100,Gratificaciones,1000,0,1000,0
,,,,,
     170  22000,Ordinario no inventariable,1000,0,1000,0
,,,,,
     170  13100,Retribuciones personal temporal,33000,0,33000,30373.24
,,,,,
     170  22001,"Prensa, revistas, libros y otras publicaciones",1000,0,1000,455.4
,,,,,
     170  22401,Primas de seguros vehículos municipales.,1000,0,1000,0
,,,,,
     170  15000,Productividad,1000,0,1000,0
,,,,,
     170  22602,Publicidad y propaganda,9000,0,9000,10919.9
,,,,,
     170  11000,Retribuciones básicas ,20000,0,20000,14520.54
,,,,,
     170  13000,Retribuciones personal laboral fijo,20000,0,20000,14767.84
,,,,,
     170  14301,Retribuciones personal afecto a programas,19000,0,19000,18880.68
,,,,,
     170  16000,Seguridad Social,59200,0,59200,53459.9
,,,,,
     170  12000,Sueldos del Grupo A1,46600,0,46600,31772.07
,,,,,
     170  12006,Trienios,2400,0,2400,1865.23
,,,,,
     165  42393,Aportación Comité Español Iluminación,600,0,600,440
,,,,,
     165  62300,"Maquinaria, Instalaciones y Utillaje",5500,0,5500,0
,,,,,
     165  22712,Servicio Mantenimiento Alumbrado Público,1210000,0,1210000,1225286.1
,,,,,
     336  76200,Acto. Cueva Santo Hermano Pedro,0,62000,62000,0
,,,,,
     336  48301,Convenio Archivo Diocesano,7500,0,7500,7000
,,,,,
     336  22706,Estudios y trabajos técnicos,18000,0,18000,22327.69
,,,,,
     925  12100,Complemento de destino,45000,0,45000,24010.61
,,,,,
     925  12101,Complemento específico,80000,0,80000,43710.5
,,,,,
     925  12102,Complemento de Residencia,10000,0,10000,5425.85
,,,,,
     925  23020,Dietas del personal no directivo,1000,0,1000,0
,,,,,
     925  23120,Locomoción del personal no directivo,1000,0,1000,58.9
,,,,,
     925  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,192.44
,,,,,
     925  15100,Gratificaciones,1000,0,1000,0
,,,,,
     925  13100,Retribuciones personal temporal,140000,0,140000,139502.91
,,,,,
     925  15000,Productividad,33500,0,33500,0
,,,,,
     925  13000,Retribuciones personal laboral fijo,300000,0,300000,256259.99
,,,,,
     925  16000,Seguridad Social,175000,0,175000,218715.13
,,,,,
     925  22720,Servicio de Atención Telefónica,521509,0,521509,421199.62
,,,,,
     925  12003,Sueldos del Grupo C1,30500,0,30500,10121.87
,,,,,
     925  12004,Sueldos del Grupo C1,36000,0,36000,47667.91
,,,,,
     925  12006,Trienios,14200,0,14200,7752.11
,,,,,
     332  20200,Arrendamientos de Edificios y otras Construcciones,10000,0,10000,9796.52
,,,,,
     332  12100,Complemento de destino,6700,0,6700,3786.8
,,,,,
     332  12101,Complemento específico,11000,-1000,10000,6092.4
,,,,,
     332  12102,Complemento de Residencia,1500,0,1500,924.8
,,,,,
     332  15100,Gratificaciones,1000,0,1000,0
,,,,,
     332  13100,Retribuciones personal temporal,21000,0,21000,18930.48
,,,,,
     332  15000,Productividad,1000,0,1000,0
,,,,,
     332  13000,Retribuciones personal laboral fijo,20000,0,20000,19446.6
,,,,,
     332  16000,Seguridad Social,18200,0,18200,19664.04
,,,,,
     332  12003,Sueldos del Grupo C1,10081,0,10081,9863.7
,,,,,
     332  12006,Trienios,3100,0,3100,1759.76
,,,,,
     453  60137,Conexión Peatonal Guargacho-Las Rosas,0,1018526.47,1018526.47,50952.38
,,,,,
     453  60142,Peatonal El Toscal-El Almendro,0,0,0,0
,,,,,
     453  60816,Rehab. pav. de calzada núcleo Los Cristianos,0,94662.57,94662.57,0
,,,,,
     453  60819,Rehab. pav. de calzada núcleo Valle S.L.,0,66058,66058,0
,,,,,
     164  62214,Ampliación del Cementerio Municipal,0,40000,40000,39998.09
,,,,,
     164  22615,Inhumaciones,5000,0,5000,2319.31
,,,,,
     164  13100,Retribuciones personal temporal,33000,0,33000,5974.51
,,,,,
     164  22110,Productos de limpieza y aseo,1000,0,1000,704.81
,,,,,
     164  13000,Retribuciones personal laboral fijo,48000,0,48000,36079.55
,,,,,
     164  14301,Retribuciones personal afecto a programas,17000,0,17000,15572.7
,,,,,
     164  16000,Seguridad Social,21400,0,21400,35085.09
,,,,,
     164  22104,Vestuario,600,0,600,1086.61
,,,,,
     922  42392,Aportación a la FEMP,5000,0,5000,4375.52
,,,,,
     922  12100,Complemento de destino,10000,0,10000,7198.34
,,,,,
     922  12101,Complemento específico,16500,0,16500,10010.65
,,,,,
     922  12102,Complemento de Residencia,2200,0,2200,1737.28
,,,,,
     922  23020,Dietas del personal no directivo,1000,0,1000,992.99
,,,,,
     922  23120,Locomoción del personal no directivo,600,0,600,714.61
,,,,,
     922  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,2925
,,,,,
     922  15100,Gratificaciones,1000,0,1000,0
,,,,,
     922  15000,Productividad,1000,0,1000,0
,,,,,
     922  11000,Retribuciones básicas,49000,0,49000,37211.83
,,,,,
     922  13000,Retribuciones personal laboral fijo,62000,0,62000,61752.96
,,,,,
     922  16000,Seguridad Social,45200,0,45200,66580.07
,,,,,
     922  12004,Sueldos del Grupo C2,8400,0,8400,16502.26
,,,,,
     922  12005,Sueldos del Grupo E,7700,0,7700,0
,,,,,
     922  12006,Trienios,3700,0,3700,2058.39
,,,,,
