#NOMPARTIDA,CODFUNCION,CODECOPART,Fecha,NIFTERCERO,NOMTERCERO,Descripción,IMPTOTFACTS
Arrendamientos de Material de Transporte,132,20400,2013-01-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,Renting Enero 2013 Vehículos P olicía Local.,12151.57
Asistencia Médico-Farmacéutica,221,16008,2013-01-01,A28011864,SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS,"Liquidación Enero 2013, Primas  Asistencia Médica, se descuen ta 10425,20.- ya abonado en f  orm. nómina.",18827.6
Festejos y Actos Populares,338,22610,2013-01-01,E38989778,C.B. ORQUESTA DELICIOSA,Realización de una Actuación M usical por parte de la Orquest a Deliciosa (Sin Sonido e Ilum inación) Cristianos Fin Año,3210
Mantenimiento de Ascensores,323,21302,2013-01-01,A28011153,"ZARDOYA OTIS, S.A.","1Trimestre Mantenimiento,Coleg io la Estrella Primaria e Infa ntil,(01-01/2013 / 31-03-2013)",658.08
"Prensa, revistas, libros y otras publicaciones",170,22001,2013-01-01,B38530655,LA OPINION DE TENERIFE S.L.U.,Ed. General La Opinion de Tene rife Periodo: 02/01/2013-31/12 /2013,455.4
Centro Cívico El Fraile,494,62267,2013-01-02,A35091057,"V.V.O. CONSTRUCCIONES Y PROYECTOS, S.A.",Certificación nº 16 Obra: Cent ro Cívico El Fraile. Proyecto  URBAN Arona.,1025.41
Centro Cívico El Fraile,494,62267,2013-01-02,A35091057,"V.V.O. CONSTRUCCIONES Y PROYECTOS, S.A.",Certificación nº 5 Obra: Proye cto Modificado nº 1 Centro Cív ico El Fraile Obras Complement arias.,75993.79
Festejos y Actos Populares,338,22610,2013-01-02,B38418653,SANITARIOS PORTATILES S.L.,"2 Alquiler Sanitarios Pace y 1 Sanitario Accesible , para Fie sta Fin Año Los Cristianos.",235.4
Festejos y Actos Populares,338,22610,2013-01-02,B38529053,PIROTECNICA EL CARMEN S.L.,"1 Conjunto Fuegos Artificiales  Clase III, Fiesta Fin Año los  Cristianos, 31/12/2012",824
Festejos y Actos Populares,338,22610,2013-01-02,B38631735,BACK STAGE PRODUCCIONES S.L.,Patrocinio Actuación del Dj Av icci dentro de Programación Ar ona Summer Festival 2012 el 10 /08/2012.,64200
Festejos y Actos Populares,338,22610,2013-01-02,B76546225,"MAC IMPRESIONS, S.L.",Bandas y Camisetas Organizació n. Cabalgata de Reyes.,133.9
Material informático no inventariable,920,22002,2013-01-02,B84413426,SPINBIZ COMPANY S.L.,Licencia ISL Online ASP- Suscr ipción Anual,339
Productos alimenticios,920,22105,2013-01-02,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",3 Botellones Agua y 1 Caja Vas os- Policia Municipal Jefatura,34.64
Productos alimenticios,920,22105,2013-01-02,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",7 Botellones Agua y 1 Caja Vas os-Sac Los Cristianos nº1,60.5
Repar. conserv. y man. elementos de transporte,132,21400,2013-01-02,B38233912,SERVICIOS E LEON S.L.,"Cambiar luz delahntera 1492-DW G, Moto Policía Local",14.82
Fiestas del Municipio,338,22611,2013-01-03,A38010856,AGUAS DE VILAFLOR S.A.,Suministro Cajas Agua 33cl. Ca balgata de Reyes Magos 2013.,159.63
Material informático no inventariable,920,22002,2013-01-03,A28122125,CANON ESPAÑA S.A.,"Mantenimiento Fotocopiadora IR 3300ES Model, Periodo: 01/12/2 012-30/11/2013",115.59
