#Aplicación Presupuestaria ,Denominación,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
912 10000,Retribuciones básicas ,720000,0,720000,350278.38
150 10100,Retribuciones báicas,14825,0,14825,0
150 10101,Otras remuneraciones,34780,0,34780,0
912 11000,Retribuciones básicas,260050,0,260050,62754.77
912 11002,Otras remuneraciones.,3500,0,3500,0
920 12000,Sueldos del Grupo A1,156000,0,156000,86718.42
150 12000,Sueldos del Grupo A1,145000,0,145000,83858.18
170 12000,Sueldos del Grupo A1,60000,0,60000,15420.11
931 12000,Sueldos del Grupo A1,97000,0,97000,65070.36
135 12000,Sueldos del Grupo A1,7406,0,7406,0
132 12000,Sueldos del Grupo A1,11200,0,11200,0
920 12001,Sueldos del Grupo A2,14700,0,14700,10731.66
320 12001,Sueldos del Grupo A2,3300,0,3300,0
150 12001,Sueldos del Grupo A2,56200,0,56200,26551.67
132 12001,Sueldos del Grupo A2,69000,0,69000,40130.27
920 12003,Sueldos del Grupo C1,32500,0,32500,16404.42
150 12003,Sueldos del Grupo C1,60000,0,60000,16024.52
3322 12003,Sueldos del Grupo C1,10000,0,10000,7409.03
925 12003,Sueldos del Grupo C1,30000,0,30000,7391.81
931 12003,Sueldos del Grupo C1,89000,0,89000,29890.53
132 12003,Sueldos del Grupo C1,1275000,0,1275000,752590.77
920 12004,Sueldos del Grupo C2,75500,0,75500,48157.97
150 12004,Sueldos del Grupo C2,62000,0,62000,46944.31
925 12004,Sueldos del Grupo C1,60000,0,60000,26426.69
922 12004,Sueldos del Grupo C2,9000,0,9000,6773.17
931 12004,Sueldos del Grupo C2,32000,0,32000,37491.86
132 12004,Sueldos del Grupo C2,8500,0,8500,2214.03
920 12005,Sueldos del Grupo E,27500,0,27500,17955.91
150 12005,Sueldos del Grupo E,23500,0,23500,16939.07
920 12006,Trienios,55000,0,55000,21170.92
150 12006,Trienios,64000,0,64000,23922.29
170 12006,Trienios,4000,0,4000,1163.36
3322 12006,Trienios,3000,0,3000,1275.96
925 12006,Trienios,11000,0,11000,4824.59
922 12006,Trienios,2100,0,2100,1013.55
931 12006,Trienios,45900,0,45900,19986.68
132 12006,Trienios,175000,0,175000,77829.6
929 12009,Otras Retribuciones básicas.,116500,0,116500,0
920 12100,Complemento de destino,175000,0,175000,66659.08
320 12100,Complemento de destino,1850,0,1850,0
150 12100,Complemento de destino,202000,0,202000,68275.49
170 12100,Complemento de destino,35200,0,35200,4936.33
3322 12100,Complemento de destino,6700,0,6700,2868.54
925 12100,Complemento de destino,59200,0,59200,13504.66
922 12100,Complemento de destino,6000,0,6000,2791.18
931 12100,Complemento de destino,155000,0,155000,53842.29
135 12100,Complemento de destino,3900,0,3900,0
132 12100,Complemento de destino,707000,0,707000,249912.35
920 12101,Complemento especifico,385000,0,385000,128445.97
320 12101,Complemento especifico,3000,0,3000,0
150 12101,Complemento especifico,440000,0,440000,137649.13
170 12101,Complemento especifico,72200,0,72200,11412.31
3322 12101,Complemento específico,10800,0,10800,4615.02
925 12101,Complemento específico,90000,0,90000,24606.67
922 12101,Complemento específico,7800,0,7800,3881.64
929 12101,Complemento Especifico.,86800,0,86800,0
931 12101,Complemento especifico,280000,0,280000,101333.11
135 12101,Complemento especifico,6700,0,6700,0
132 12101,Complemento especifico,1370000,0,1370000,460987.89
920 12102,Complemento de Residencia,41900,0,41900,15811.06
320 12102,Complemento de Residencia,425,0,425,0
150 12102,Complemento de Residencia,47700,0,47700,15688.34
170 12102,Complemento de Residencia,8320,0,8320,1212.89
3322 12102,Complemento residencia,1400,0,1400,700.62
925 12102,Complemento de Residencia,12300,0,12300,3048.23
922 12102,Complemento de Residencia,1200,0,1200,673.68
931 12102,Complemento de Residencia,30100,0,30100,11593.6
135 12102,Complemento de Residencia,1030,0,1030,0
132 12102,Complemento de Residencia,190000,0,190000,72567.98
920 13000,Retribuciones personal laboral fijo,311500,0,311500,139527.71
320 13000,Retribuciones personal laboral fijo,206000,0,206000,67275.23
150 13000,Retribuciones personal laboral fijo,365400,0,365400,160242.31
170 13000,Retribuciones personal laboral fijo,73200,0,73200,33893.12
3322 13000,Retribuciones básicas,20000,0,20000,10879.26
231 13000,Retribuciones personal laboral fijo,170000,0,170000,90733.77
925 13000,Retribuciones básicas,288000,0,288000,147039.58
164 13000,Retribuciones personal laboral fijo,35600,0,35600,18942.26
922 13000,Retribuciones personal laboral fijo,62700,0,62700,35318.43
3271 13000,Retribuciones básicas,108000,0,108000,35403.57
241 13000,Retribuciones personal laboral fijo,74500,0,74500,41156.1
933 13000,Retribuciones personal laboral fijo,17000,0,17000,10424.17
931 13000,Retribuciones básicas.,424000,0,424000,192332.14
311 13000,Retribuciones personal laboral fijo,36000,0,36000,18925.48
132 13000,Retribuciones personal laboral fijo,57000,0,57000,27940.83
929 13002,Otras Remuneraciones,125145,0,125145,0
920 13100,Retribuciones personal temporal,359000,0,359000,168382.51
320 13100,Retribuciones personal temporal,71200,0,71200,53693.03
150 13100,Retribuciones personal temporal,281000,0,281000,184695.5
170 13100,Retribuciones personal temporal,33900,0,33900,17691.29
3322 13100,Personal Laboral temporal,0,0,0,1755.49
925 13100,Retribuciones personal temporal,123000,0,123000,82999.55
164 13100,Retribuciones personal temporal,15200,0,15200,6058.14
3271 13100,Personal laboral temporal,82000,0,82000,42436.38
241 13100,Retribuciones personal temporal,120175,0,120175,54835.04
924 13100,Retribuciones personal temporal,39000,0,39000,20321.99
931 13100,Retribuciones personal temporal,239000,0,239000,139903.49
132 13100,Retribuciones personal temporal,70000,0,70000,10813.21
920 14301,Retribuciones personal afecto a programas,150000,0,150000,61672.66
320 14301,Retribuciones personal afecto a programas,16700,0,16700,8733.82
150 14301,Retribuciones personal afecto a programas,175300,0,175300,49561.76
170 14301,Retribuciones personal afecto a programas,19100,0,19100,10120.45
164 14301,Retribuciones personal afecto a programas,16900,0,16900,8827.95
3271 14301,Retribuciones personal afecto a programas,39000,0,39000,19737.35
4911 14301,Retribuciones personal afecto a programas,116000,0,116000,49940.29
241 14302,Retribuciones convenios AEDL,80000,0,80000,0
241 14303,Retribuciones personal convenios,500000,0,500000,5261.75
241 14341,Subvención para implementar Plan Especial Empleo S,0,21778.08,21778.08,0
241 14342,Mejora de las Zonas Rurales de Medianias de Arona ,0,34288.87,34288.87,0
241 14343,Programa de Promoción del Empleo Arona 2015,0,201574.96,201574.96,201555.66
241 14344,Dinamizando Arona 2015,0,157460.48,157460.48,110188.69
241 14345,Socorrismo Acuático 2015,0,157460.48,157460.48,116307.52
920 15000,Productividad,13120,0,13120,0
320 15000,Productividad,1000,0,1000,0
150 15000,Productividad,5000,0,5000,0
170 15000,Productividad,1000,0,1000,0
3322 15000,Productividad,1000,0,1000,0
925 15000,Productividad,33500,0,33500,0
922 15000,Productividad,1000,0,1000,0
931 15000,Productividad,6000,0,6000,2785.32
132 15000,Productividad,30000,0,30000,0
920 15100,Gratificaciones,10000,0,10000,8571.4
320 15100,Gratificaciones,1000,0,1000,0
150 15100,Gratificaciones,1000,0,1000,5510.94
170 15100,Gratificaciones,1000,0,1000,0
3322 15100,Gratificaciones,1000,0,1000,0
925 15100,Gratificaciones,1000,0,1000,0
922 15100,Gratificaciones,1000,0,1000,0
931 15100,Gratificaciones,1000,0,1000,0
132 15100,Gratificaciones,150000,0,150000,108154.49
920 16000,Seguridad Social,520000,0,520000,230167.15
320 16000,Seguridad Social,95000,0,95000,52173.9
150 16000,Seguridad Social,525000,0,525000,253584.91
170 16000,Seguridad Social,80000,0,80000,30186.6
3322 16000,Seguridad Social,15000,0,15000,9452.14
231 16000,Seguridad Social,52500,0,52500,29357.87
925 16000,Seguridad Social,220000,0,220000,109197.88
164 16000,Seguridad Social,20000,0,20000,14702.15
922 16000,Seguridad Social,28000,0,28000,14599.61
3271 16000,Seguridad Social,60000,0,60000,48329.1
241 16000,Seguridad Social,260000,170457.52,430457.52,94865.12
933 16000,Seguridad Social,5400,0,5400,3588.75
912 16000,Seguridad Social,276351,0,276351,84733.03
924 16000,Seguridad Social,12200,0,12200,9806.53
931 16000,Seguridad Social,420000,0,420000,194374.18
135 16000,Seguridad Social,6000,0,6000,0
311 16000,Seguridad Social,12000,0,12000,6374.78
132 16000,Seguridad Social,1200000,-19000,1181000,561308.66
4911 16000,Seguridad Social,40000,0,40000,21201.6
221 16006,Asistencia Farma-Protésica según Convenio,100000,0,100000,54615.61
221 16008,Asistencia Médico-Farmacéutica,300000,0,300000,81952.47
920 16200,Formación y perfeccionamiento del Personal,5000,0,5000,1467.97
320 16200,Formación y Perfeccionamiento del Personal,600,0,600,0
150 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,325
170 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
231 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
925 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
922 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
3271 16200,Formación y perfeccionamiento del personal,600,0,600,513.91
241 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
933 16200,Formación y Perfeccionamiento del Personal,600,0,600,0
912 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
931 16200,Formación y Perfeccionamiento del Personal,1000,0,1000,607.09
311 16200,Formación y Perfeccionamiento del Personal,600,0,600,0
