330 13000,Retribuciones básicas,142443.76,0,142443.76,312163.51,
330 13101,Indemnizaciones Personal Laboral Temporal,6,0,6,42.37,
330 15100,Gratificaciones,8994.53,6000,14994.53,11457.11,
330 16000,Seguridad Social,45582,0,45582,45582,
330 16006,Asistencia farma-protésica según Convenio,16469.59,0,16469.59,30482.87,
330 16008,Asistencia médico farmacéutica,5050,0,5050,2572.51,
330 16200,Formación Perfeccionamiento Personal,5669.1,0,5669.1,1014.03,
330 16204,Acción Social,15500,0,15500,14226.3,
330 16205,Seguros,6000,0,6000,2039.26,
330 16206,Bolsa Convenio,23315.85,0,23315.85,19848.4,
330 20500,Arrendamiento Mobiliario y Enseres,3000,0,3000,0,
330 21400,"Reparación, Mant. y Conser. Material Transporte",4000,0,4000,3245.54,
330 21500,Mobiliario y enseres,5000,0,5000,3110.34,
330 22000,Material de oficina,10000,0,10000,17040.21,
330 22001,"Prensa, revistas, libros y otras publicaciones",5000,0,5000,3561.8,
330 22002,Material informático no inventariable,1000,0,1000,7384.84,
330 22103,Combustibles y carburantes,8000,0,8000,4548.79,
330 22124,Mobiliario y Enseres,7000,15000,22000,19922.89,
330 22199,Otros Suministros,5000,21500,26500,18179.82,
330 22200,Servicio de Telecomunicaciones,8000,0,8000,9977.08,
330 22300,Transportes,10300,0,10300,9338.99,
330 22400,Primas de seguro,4000,0,4000,3119.92,
330 22500,Tributos estatales,3000,0,3000,0,
330 22501,Tributos CC.AA.,1000,0,1000,0,
330 22601,Atenciones protocolarias y representativas,1500,0,1500,710.69,
330 22604,"Jurídicos, Contenciosos",2000,0,2000,0,
330 22607,Oposiciones y Pruebas selectivas,2000,0,2000,177.44,
330 22706,Estudios y Trabajos Técnicos,3500,0,3500,3684,
330 23000,Dietas de los miembros de órganos de gobierno,1000,0,1000,0,
330 23020,Dietas personal no directivo,2000,0,2000,2605.93,
330 23100,Locomoción miembros de órganos de gobierno,1000,0,1000,0,
330 23120,Locomoción personal no directivo,1500,254,1754,2547.2,
330 23300,Asistencia órganos de gobierno,4000,0,4000,4600,
330 62300,"Maquinaria, instalaciones y utillaje",2000,12000,14000,22544.64,
330 62500,Mobiliario,1000,0,1000,4996.9,
330 62600,Equipos para proceso de Información,6000,15000,21000,12576.82,
3321 13000,Retribuciones básicas,194384.85,0,194384.85,599121.19,
3321 13100,Retribuciones Laboral Temporal,30725.28,0,30725.28,119249.27,
3321 16000,Seguridad Social,72035.24,0,72035.24,72035.24,
3321 22107,Fondo Bibliográfico,10000,10000,20000,9626.83,
3321 62501,Adquisición material biblioteca,1000,0,1000,0,
3341 11000,Retribuciones básicas,0,0,0,0,
3341 13000,Retribuciones básicas,209519.08,0,209519.08,317186.39,
3341 13100,Retribuciones laboral temporal,0,0,0,37905.7,
3341 16000,Seguridad Social,76326.07,0,76326.07,76326.07,
3341 21200,Reparación Mant. y Conserv. Edificios y otras cons,35000,19000,54000,19748.21,
3341 21300,"Reparaciones, Mant. y Conser. Maquinaria Inst Téc ",5000,0,5000,19930.29,
3341 21302,Mantenimiento de ascensores,23000,0,23000,15046.71,
3341 22104,Vestuario,10000,0,10000,849.5,
3341 22105,Productos alimenticios,1500,0,1500,568.92,
3341 22108,Limpieza vestuario,1000,0,1000,0,
3341 22602,Publicidad y propaganda,35000,-254,34746,20071.89,
3341 22609,Actividades Culturales,166345.78,341775.01,508120.79,482797.87,
3341 22620,Servicio Sonido e Iluminación ,34240,0,34240,32551.53,
3341 22690,Cursos y Talleres,0,212022.84,212022.84,132953.74,
3341 22691,Espectáculos de taquilla,0,158130.65,158130.65,74092.98,
3341 22701,Seguridad,9500,0,9500,8339.58,
3341 48900,Subvención Asoc. Sociocultural Banda Música Arona,26000,0,26000,26000,
3341 62400,Vehículo,0,20000,20000,16100.06,
3342 13000,Retribuciones básicas,526335.85,0,526335.85,132466.62,
3342 13100,Retribuciones laboral temporal,22935.84,-15000,7935.84,0,
3342 16000,Seguridad Social,175766.94,0,175766.94,183750.22,
3342 22114,Suministro material musical,1000,0,1000,1655.48,
3342 22709,Servicio reparación de instrumentos,5000,0,5000,3993.54,
3342 63201,Adquisición Instrumentos Musicales,6500,0,6500,6299.53,
337 13000,Retribuciones básicas,480485.37,-106420,374065.37,6876.06,
337 13100,Retribuciones laboral temporal,14962.99,0,14962.99,0,
337 16000,Seguridad Social,158543.48,0,158543.48,126941.82,
337 62900,Equipamiento,0,70203.46,70203.46,19322.66,
920 11000,Retribuciones Básicas,28999.88,420,29419.88,29415.4,
929 50000,Fondo de Contingencias,22600.52,0,22600.52,0,
931 83001,Anticipos de personal,0,3600,3600,3600,
931 83101,Anticipos al Personal,0,37300,37300,37300,
,,2754538,820531.96,3575069.96,3225425.5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
