430 11000,Retribuciones Básicas,18416.56,0,18416.56,9551.6
430 13000,Retribuciones Básicas,51873.14,0,51873.14,48722.56
430 13100,Retribuciones Laboral Temporal,19132.56,0,19132.56,28406.82
430 15100,Gratificaciones,3000,0,3000,1935.62
430 16000,Seguridad Social,28615.23,0,28615.23,42018.33
430 16006,Asistencia Farma-Protésica según Convenio,4500,0,4500,2328.17
430 16008,Asistencia Médico-Farmaceútica,2500,0,2500,1800
430 16200,Formación y Perfeccionamiento del Personal,2948.91,0,2948.91,233.38
430 16204,Acción Social,4191.15,0,4191.15,1649.52
430 16205,Seguros,1500,0,1500,1361.35
430 16206,Bolsa Convenio,4200,0,4200,3420
430 20200,Arrendamientos de Edificios y otras Construcciones,9500,0,9500,9646.28
430 20800,Arrendamientos de otro inmovilizado material)),0,0,0,0
430 21200,Reparación Mantenimiento Edificios,2000,0,2000,420.36
430 21300,Reparación Manten. Consrv.maq. Ins. Utillaje,2000,0,2000,59.99
430 21500,"Reparaciones, matenim. y consrv. Mobiliario",1000,0,1000,0
430 21600,Reparaciones mantenim. y conserv. Equipos proc. in,1000,0,1000,0
430 22000,Ordinario No Inventariable,6000,0,6000,5392.01
430 22001,"Prensa, revistas, libros y publicaciones",2000,0,2000,0
430 22002,Material informático no inventariable,1000,0,1000,0
430 22105,Productos alimenticios)),0,0,0,1091.22
430 22110,Productos de Limpieza y Aseo,1000,0,1000,0
430 22199,Otros Suministros,10,0,10,19147.6
430 22200,Servicios de Telecomunicaciones,5000,0,5000,2747.83
430 22400,Primas de Seguros,1000,0,1000,0
430 22601,Atenciones Protocolarias y Representativas,5000,0,5000,1746.71
430 22602,Publicidad y Propaganda)),0,0,0,2033
430 22603,Publicación en Diarios Oficiales,0,0,0,461.38
430 22604,Jurídicos y Contenciosos,0,0,0,1081
430 22706,Estudios y trabajos técnicos)),0,0,0,1391
430 23000,Dietas Miembros de los Órganos de Gobierno,1500,0,1500,4552.41
430 23020,Dietas personal no directivo,5000,0,5000,2805.15
430 23100,Locomoción Organos de Gobierno,1500,0,1500,882.33
430 23120,Locomoción personal no directivo,6000,0,6000,922.15
430 23300,Otras Indemnizaciones,1000,0,1000,1500
430 62300,"Maquinaria, instalación,utillaje",2500,7800,10300,0
430 62600,Equipos para Proceso de Información,10000,0,10000,0
432 13000,Retribuciones Básicas,86341.9,0,86341.9,86392.56
432 13100,Retribuciones Laboral Temporal,114699.62,0,114699.62,98962.72
432 16000,Seguridad Social,64333.29,0,64333.29,38288.27
432 20800,Arrendamientos de otro Inmovilizado Material,2000,0,2000,0
432 22104,Vestuario,3000,0,3000,1646.11
432 22602,Publicidad y Propaganda,50000,0,50000,58862.76
432 22635,Folk Fest Arona,25000,0,25000,24996.48
432 22640,Actos de Promoción Turística,275081.64,0,275081.64,324641.15
432 22641,Accesibilidad aplicada al Turismo,80000,0,80000,24626.04
432 22642,Nuevas Tecnologías aplicadas al Turismo,50000,0,50000,21881.5
432 22643,Actos de Turismo Deportivo,30000,0,30000,6801.15
432 22706,Estudios y trabajos Tecnicos.,40000,0,40000,28522.16
432 46101,Convenio SATE,7800,-7800,0,0
432 62500,Mobiliario,2500,0,2500,0
931 83001,Anticipos de Personal)),0,3600,3600,3600
931 83002,Anticipos por Cuenta de Terceros,3,0,3,0
931 83101,Anticipos al Personal,3,0,3,0
,,1035650.0,3600,1039250.0,916528.67
